px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
137.604	16.1649	2.90066	0.432487	0.118913	137.653	16.5145	137.639	16.1592	2.61821	0.974442	0.583165	R
140.316	17.0308	2.88681	0.313929	-0.0336821	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.671605	L
140.328	17.0329	2.91148	0.31067	-0.0371182	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0504582	R
142.912	17.9895	2.82593	0.347939	0.0109059	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.183585	L
142.881	17.9844	2.83802	0.343927	0.00266639	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.778507	R
145.4	19.151	2.83019	0.456134	0.0732567	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.146291	L
145.488	19.1555	2.95934	0.433808	0.0487884	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.78776	R
148.22	20.4654	3.09284	0.462548	0.0331266	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.25276	L
148.203	20.467	3.03627	0.475619	0.0500411	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.161857	R
150.695	22.1056	3.03776	0.626662	0.116008	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.127943	L
150.712	22.096	3.12509	0.594311	0.0713864	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.66647	R
153.407	23.5094	3.08804	0.471281	-0.0571357	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.503956	L
153.391	23.5065	3.04311	0.480317	-0.045403	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.103211	R
156.049	24.8103	3.02791	0.428944	-0.0491895	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0031488	L
156.024	24.8094	2.93253	0.446385	-0.0250975	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.420296	R
158.857	26.018	3.13504	0.373794	-0.0585251	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.610348	L
158.881	26.0217	3.13905	0.373051	-0.0568262	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.3361	R
161.459	27.4197	2.97839	0.500964	0.063707	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.840479	L
161.473	27.4254	2.96416	0.507203	0.0734933	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.252474	R
163.685	28.7966	2.6824	0.594213	0.0891298	163.625	28.7683	164.155	28.8064	2.64354	1.28825	1.07543	L
163.801	28.807	2.858	0.552152	0.0431627	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.94684	R
166.726	30.1817	3.25045	0.386449	-0.101291	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.9689	L
166.68	30.1714	3.10156	0.408605	-0.0729142	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.905574	R
169.163	31.3833	2.83885	0.430829	-0.010721	169.097	31.3717	169.452	31.2706	2.61238	1.15075	1.12211	L
169.176	31.3844	2.86321	0.427212	-0.0149253	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.0587942	R
172.108	32.3342	3.12039	0.258963	-0.11816	172.175	32.3404	172.079	32.3873	2.58945	1.06126	1.28735	L
172.095	32.328	3.01696	0.262633	-0.112068	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.648213	R
174.688	33.4455	2.8567	0.392258	0.0414213	174.643	33.4625	174.685	33.4095	2.56021	0.960341	1.06603	L
174.655	33.4438	2.78418	0.400062	0.0517698	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.265331	R
177.063	34.2306	2.59774	0.321309	-0.0295237	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.634454	L
177.07	34.2311	2.58682	0.321213	-0.0288866	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.0761338	R
180.022	35.1102	3.11847	0.262878	-0.0483901	180.145	35.1423	179.799	35.1289	2.47883	0.732949	3.897	L
179.904	35.0883	2.83804	0.279581	-0.0290752	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.42788	R
182.596	35.7554	2.84672	0.221554	-0.0472191	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.0103227	L
182.494	35.7352	2.65078	0.226967	-0.0416534	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.45139	R
184.778	36.5084	2.47102	0.323811	0.0461447	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.670642	L
184.753	36.5078	2.3785	0.331694	0.0561305	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.346381	R
186.956	36.9677	2.29364	0.205601	-0.0568579	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.456262	L
187.018	36.9804	2.38008	0.200455	-0.0605172	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.0388	R
189.434	37.3993	2.5116	0.141661	-0.0584646	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.237336	L
189.442	37.3977	2.42462	0.138011	-0.0619887	189.738	36.951	189.401	37.1147	2.20928	0.245623	1.0264	R
191.746	37.5689	2.37911	0.037238	-0.0860718	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.045347	L
191.703	37.5565	2.27577	0.027711	-0.0966224	191.682	37.1147	191.615	37.3064	2.12037	0.131591	0.479404	R
193.553	37.2963	1.93797	-0.191555	-0.176902	193.471	37.2789	193.738	37.3853	2.02462	0.0250452	1.79441	L
193.574	37.3062	2.00968	-0.175459	-0.158569	193.555	37.4234	193.738	37.3853	2.02462	0.0250452	0.228224	R
195.902	37.3579	2.29199	0.0581468	0.0880719	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	3.187	L
195.801	37.3477	2.0741	0.0276407	0.0624221	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.35018	R
197.736	37.7115	2.01571	0.238802	0.15068	197.725	37.7285	197.683	37.2395	1.81869	-0.159495	0.247927	L
197.69	37.7043	1.94586	0.236155	0.149471	197.582	37.303	197.683	37.2395	1.81869	-0.159495	0.529647	R
199.358	37.3734	1.57729	-0.124657	-0.147973	199.294	37.2862	199.497	37.0353	1.71212	-0.235529	4.39938	L
199.365	37.3801	1.61594	-0.116755	-0.138815	199.356	37.3527	199.497	37.0353	1.71212	-0.235529	0.070003	R
201.431	37.0053	2.1193	-0.248045	-0.119526	201.549	36.9973	201.203	36.7587	1.6057	-0.300201	3.42816	L
201.334	36.9717	1.94511	-0.31365	-0.17808	200.932	37.4694	201.203	36.7587	1.6057	-0.300201	2.20733	R
202.984	36.4376	1.808	-0.388019	-0.122523	202.962	36.4568	202.801	36.4212	1.50137	-0.353671	0.290185	L
202.932	36.4237	1.71122	-0.427131	-0.160069	202.65	37.2445	202.801	36.4212	1.50137	-0.353671	0.637384	R
204.069	36.1334	1.22788	-0.382526	-0.0499917	203.991	36.1967	204.294	36.0343	1.40095	-0.396497	3.00007	L
204.075	36.1253	1.3614	-0.354626	-0.0128949	203.809	36.2941	204.294	36.0343	1.40095	-0.396497	1.88549	R
